"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Apr 06 21:43:03 UTC 2026","Mon Apr 06 21:43:03 UTC 2026","8","LMS service","Users","TestUsers","","","Create user",""
"broken","Mon Apr 06 21:43:03 UTC 2026","Mon Apr 06 21:43:03 UTC 2026","0","LMS service","Courses","Create entity","","","Create course",""
"broken","Mon Apr 06 21:43:03 UTC 2026","Mon Apr 06 21:43:03 UTC 2026","0","LMS service","Courses","Get entities","","","Get courses",""
"broken","Mon Apr 06 21:43:03 UTC 2026","Mon Apr 06 21:43:03 UTC 2026","0","LMS service","Exercises","Get entity","","","Get exercise",""
"broken","Mon Apr 06 21:43:03 UTC 2026","Mon Apr 06 21:43:03 UTC 2026","0","LMS service","Exercises","Get entities","","","Get exercises",""
"broken","Mon Apr 06 21:43:03 UTC 2026","Mon Apr 06 21:43:03 UTC 2026","0","LMS service","Files","TestFiles","","","Create file",""
"broken","Mon Apr 06 21:43:03 UTC 2026","Mon Apr 06 21:43:03 UTC 2026","0","LMS service","Files","TestFiles","","","Get file",""
"broken","Mon Apr 06 21:43:04 UTC 2026","Mon Apr 06 21:43:04 UTC 2026","3","LMS service","Users","TestUsers","","","Create user",""
"broken","Mon Apr 06 21:43:03 UTC 2026","Mon Apr 06 21:43:03 UTC 2026","0","LMS service","Files","TestFiles","","","Get file with incorrect file id",""
"broken","Mon Apr 06 21:43:03 UTC 2026","Mon Apr 06 21:43:03 UTC 2026","0","LMS service","Exercises","Create entity","","","Create exercise",""
"broken","Mon Apr 06 21:43:03 UTC 2026","Mon Apr 06 21:43:03 UTC 2026","0","LMS service","Courses","Update entity","","","Update course",""
"broken","Mon Apr 06 21:43:03 UTC 2026","Mon Apr 06 21:43:03 UTC 2026","0","LMS service","Files","TestFiles","","","Create file with empty directory",""
"broken","Mon Apr 06 21:43:03 UTC 2026","Mon Apr 06 21:43:03 UTC 2026","0","LMS service","Exercises","Update entity","","","Update exercise",""
"broken","Mon Apr 06 21:43:03 UTC 2026","Mon Apr 06 21:43:03 UTC 2026","0","LMS service","Exercises","Delete entity","","","Delete exercise",""
"broken","Mon Apr 06 21:43:03 UTC 2026","Mon Apr 06 21:43:03 UTC 2026","0","LMS service","Authentication","TestAuthentication","","","Login",""
"broken","Mon Apr 06 21:43:04 UTC 2026","Mon Apr 06 21:43:04 UTC 2026","0","LMS service","Users","TestUsers","","","Get user me",""
"broken","Mon Apr 06 21:43:04 UTC 2026","Mon Apr 06 21:43:04 UTC 2026","7","LMS service","Users","TestUsers","","","Create user",""
"broken","Mon Apr 06 21:43:03 UTC 2026","Mon Apr 06 21:43:03 UTC 2026","0","LMS service","Files","TestFiles","","","Create file with empty filename",""
"broken","Mon Apr 06 21:43:03 UTC 2026","Mon Apr 06 21:43:03 UTC 2026","0","LMS service","Files","TestFiles","","","Delete file",""
